source;title;published_at;currencies;News value;full_news_url;description
beincrypto.com;XRP Price Under Heavy Selling Pressure;2022-11-30 19:48:27 UTC;XRP;1;https://cryptopanic.com/news/17035778/XRP-Price-Under-Heavy-Selling-Pressure;"<p>Ripple has always managed to be in the news pushing XRP price action in either direction, depending on the context. </p>
"
cointelegraph.com;Kraken cuts workforce by 30% in an effort to survive crypto winter;2022-11-30 19:45:00 UTC;;-1;https://cryptopanic.com/news/17035780/Kraken-cuts-workforce-by-30-in-an-effort-to-survive-crypto-winter;<p>According to the CEO, the exchange grew too fast to accommodate the fast-growing crypto ecosystem </p>
youtube.com;Crypto Bulls Finally Get a Win;2022-11-30 19:44:33 UTC;;0;https://cryptopanic.com/news/17035637/Crypto-Bulls-Finally-Get-a-Win;🚀 Learn Technical Analysis with The Chart Guys! 🚀https://www.chartguys.com/trading-community-membership<br><br>Our goal is to review and discuss the most recent price action in the market in a manner that makes it useful to you. Using Technical Analysis, we perform an indepth review of the action in the stock market today and try provide you with our analysis on current patterns, developing trends, and our take on where the market is headed. <br><br>Our Focus includes<br>- Technical Analysis<br>- Trade Education<br>- Trend and Pattern Analysis<br>- Market Psychology<br>- Emotional and Mental Health<br><br>Follow us on Twitter<br>🐦  https://twitter.com/ChartGuys<br><br>Instagram: https://www.instagram.com/chartguys/<br><br>We're on Facebook! <br>💻 https://www.facebook.com/thechartguys<br><br>#thechartguys #technicalanalysis #crypto #bitcoin #stocks #markets #daytrading #Swingtrading #charts #silver #gold #TSLA #SPY #QQQ
dailyhodl.com;Texas State Securities Regulator Sends Sam Bankman-Fried Official Hearing Notice Requesting SBF’s Testimony;2022-11-30 19:41:29 UTC;FTT;0;https://cryptopanic.com/news/17035789/Texas-State-Securities-Regulator-Sends-Sam-Bankman-Fried-Official-Hearing-Notice-Requesting-SBFs-Testimony;<p>Disgraced FTX founder Sam Bankman-Fried is being summoned by the Texas securities regulator to appear during an administrative hearing on February 2nd, 2023.  The Texas State Securities Board (TSSB) is investigating whether FTX violated securities laws with its offering of the yield-generating EARN product. The state regulator accuses Bankman-Fried of violating the Securities Act by […]</p>
theblockcrypto.com;SCB 10X opens new web3 collaborative space in Bangkok: Exclusive;2022-11-30 19:34:12 UTC;;0;https://cryptopanic.com/news/17035752/SCB-10X-opens-new-web3-collaborative-space-in-Bangkok-Exclusive;<p>SCB 10X has opened a a 10,000 square foot web3 collaborative space called DistrictX in Bangkok, Thailand.</p>
youtube.com;Jason Brett | Incoming 'Bitcoin' Regulation | Simply Bitcoin IRL;2022-11-30 19:32:50 UTC;BTC;0;https://cryptopanic.com/news/17035787/Jason-Brett-Incoming-Bitcoin-Regulation-Simply-Bitcoin-IRL;Nico talks with Jason Brett, he helps policymakers understand digital assets, digital payments, digital identity, and distributed ledger technologies.<br><br>Powered by : Swan Bitcoin<br>► https://www.swanbitcoin.com/simplybit...<br>► Swan Bitcoin is the best way to build your Bitcoin stack, with automated Bitcoin savings plans and instant purchases. Serving clients of any size, from $10 to $10M+<br><br>✓ SUBSCRIBE - https://bit.ly/3QbgqTQ<br>✓ LEAVE A LIKE <br>✓ COMMENT <br><br>Join our Telegram, Give us Memes to Review!<br>► https://t.me/SimplyBitcoinTV
ethereumworldnews.com;Binance CEO Changpeng Zhao Takes A Subtle Dig At Kraken And KuCoin;2022-11-30 19:29:55 UTC;KCS;0;https://cryptopanic.com/news/17035720/Binance-CEO-Changpeng-Zhao-Takes-A-Subtle-Dig-At-Kraken-And-KuCoin;Changpeng Zhao's latest tweet is drawing criticism for spreading FUD against rival exchanges Kraken and KuCoin.
cointelegraph.com;Price analysis 11/30: BTC, ETH, BNB, XRP, ADA, DOGE, MATIC, DOT, LTC, UNI;2022-11-30 19:28:32 UTC;BTC,ETH,XRP,DOGE,ADA,MATIC,DOT,LTC,UNI,BNB;0;https://cryptopanic.com/news/17035749/Price-analysis-1130-BTC-ETH-BNB-XRP-ADA-DOGE-MATIC-DOT-LTC-UNI;<p>BTC and many altcoins are kicking up dust after the Federal Reserve chairman Jerome Powell discussed the possibility of smaller rate hikes in 2023, but is the momentum sustainable? </p>
youtube.com;Is the Fed Finally Out of the Way?!  Chart TA with DOC today!;2022-11-30 19:13:39 UTC;;0;https://cryptopanic.com/news/17035699/Is-the-Fed-Finally-Out-of-the-Way-Chart-TA-with-DOC-today;🟢 10X Your Trades w/ Our Strategies: https://elite.readyset.trade/<br>🟡 Beat The Market w/ On-Chain Analysis: https://www.readyset.vision/<br>🔴 Discuss Crypto w/ The RSC Community: https://discord.gg/F4HqbmN<br><br>👉 See Doc's latest Market Minute here!: https://www.youtube.com/watch?v=rA2cUpO2as4<br><br>🚀 SPECIAL 21% OFF Our OMNIA Analysis Service: http://readysetcrypto.com/2021<br><br>👫 Our Second Channel: https://bit.ly/3eG8vML<br>👫 Twitter: https://twitter.com/readysetcrypto/<br>👫 Instagram: https://www.instagram.com/readysetcrypto/<br>👫 Facebook: https://www.facebook.com/readysetcrypto/<br><br>** Statements on this site do not represent the views or policies of anyone other than myself. The information on this site is provided for discussion purposes only, and are not investing recommendations. Under no circumstances does this information represent a recommendation to buy or sell securities.<br><br>#crypto #altcoin #nft
dailyhodl.com;Ethereum (ETH) Rival Erupts 41% After Crypto Project Reveals Massive Altcoin Holdings;2022-11-30 19:05:04 UTC;ETH,FTM;1;https://cryptopanic.com/news/17035670/Ethereum-ETH-Rival-Erupts-41-After-Crypto-Project-Reveals-Massive-Altcoin-Holdings;<p>One crypto project is outperforming most of the markets with a recent rally following an announcement from one of its key contributors. Andre Cronje, a prolific developer in the decentralized finance (DeFi) space and “Architect” for the Fantom Foundation, says the project should be able to run for 30 years without having to sell a […]</p>
youtube.com;CIA Contractor Was Surrounded By 100 Taliban Fighters;2022-11-30 19:00:08 UTC;;0;https://cryptopanic.com/news/17035696/CIA-Contractor-Was-Surrounded-By-100-Taliban-Fighters;Shawn Ryan tells an insane story of how he was once pinned down by 100 Taliban fighters where he didn' think he would make it out alive. <br><br>FULL EPISODE: https://youtu.be/dCXby34tXcA<br><br>Pomp writes a daily letter to over 200,000+ investors about business, technology, and finance. He breaks down complex topics into easy-to-understand language while sharing opinions on various aspects of each industry. You can subscribe at https://pomp.substack.com/<br><br>View open jobs in crypto: https://pompcryptojobs.com/<br>Enroll in my crypto academy: https://www.thecryptoacademy.io/<br><br>Follow Pomp on social media:<br>Twitter: https://twitter.com/APompliano<br>Instagram: https://www.instagram.com/pompglobal/<br>LinkedIn: https://www.linkedin.com/in/anthonypompliano/<br>Website: https://anthonypompliano.com/<br><br>#AnthonyPompliano #Pomp #Bitcoin #Finance #Business #Crypto
cointelegraph.com;Senate Banking Committee chair calls for coordination with Treasury on crypto;2022-11-30 19:00:00 UTC;FTT;0;https://cryptopanic.com/news/17035661/Senate-Banking-Committee-chair-calls-for-coordination-with-Treasury-on-crypto;<p>The committee chair cited crypto exchange FTX’s “alarming fraud”, liquidity crunch, and bankruptcy as an example of financial risk Treasury and regulators should address.</p>
bitcoinmagazine.com;Maturation Of The Lightning Network: Growing Up By Going Vertical;2022-11-30 19:00:00 UTC;;0;https://cryptopanic.com/news/17035626/Maturation-Of-The-Lightning-Network-Growing-Up-By-Going-Vertical;<p>Like our hunter-gatherer ancestors, Bitcoin’s Lightning Network is maturing toward mass adoption through specialization and sophistication.</p>
beincrypto.com;SBF Debunking Tales: “Illiquidity Didn’t Cause the Crash” to ‘Dark’ Political Donations;2022-11-30 18:59:31 UTC;FTT;0;https://cryptopanic.com/news/17035697/SBF-Debunking-Tales-Illiquidity-Didnt-Cause-the-Crash-to-Dark-Political-Donations;<p>Sam Bankman-Fried (SBF), the former founder of the bankrupt exchange FTX, shed light on different narratives in a phone interview. Talks about bankruptcy, the alleged “backdoor,” FTX User Funds on Alameda, an $8 billion hole</p>
theblockcrypto.com;Telegram sells usernames worth $50 million on the Open Network blockchain;2022-11-30 18:53:31 UTC;TON;1;https://cryptopanic.com/news/17035636/Telegram-sells-usernames-worth-50-million-on-the-Open-Network-blockchain;<p>Telegram has sold $50 million usernames on The Open Network as the messaging app giant says it aims to capitalize on blockchain tools.</p>
cryptopotato.com;Bitcoin Rises Briefly as Fed Chair Promises More Rate Hikes;2022-11-30 18:50:07 UTC;BTC;1;https://cryptopanic.com/news/17035610/Bitcoin-Rises-Briefly-as-Fed-Chair-Promises-More-Rate-Hikes;<p>The Federal Reserve may have to keep rate hikes going for longer than previously expected.</p>
